league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,diff_rank,total_score,total_rank,franchise_name,user_name,franchise_name_opponent,user_name_opponent
The Only Legitimate LTS Bowl League - L3,3,1,0,8,39.6,NA,39.6,16,39.6,50,johnnysmomskid,johnnysmomskid,Egg Chasers,alexewart
The Only Legitimate LTS Bowl League - L3,3,2,0,7,0,NA,0,68,0,68,Speaks Kindly Holds Knife,Deredactyl,SycamoreFlynns,SycamoreFlynns
The Only Legitimate LTS Bowl League - L3,3,3,4.2,6,23.6,NA,19.400000000000002,34,27.8,53,Closet Poopers,coots1185,The WOKE FAAB,reginaldo
The Only Legitimate LTS Bowl League - L3,3,4,9.5,5,0,NA,9.5,46,9.5,62,Turd Ferguson,TurdFergusonFF,39ers,tripp39
The Only Legitimate LTS Bowl League - L3,3,5,0,4,9.5,NA,9.5,46,9.5,62,39ers,tripp39,Turd Ferguson,TurdFergusonFF
The Only Legitimate LTS Bowl League - L3,3,6,23.6,3,4.2,NA,19.400000000000002,34,27.8,53,The WOKE FAAB,reginaldo,Closet Poopers,coots1185
The Only Legitimate LTS Bowl League - L3,3,7,0,2,0,NA,0,68,0,68,SycamoreFlynns,SycamoreFlynns,Speaks Kindly Holds Knife,Deredactyl
The Only Legitimate LTS Bowl League - L3,3,8,39.6,1,0,NA,39.6,16,39.6,50,Egg Chasers,alexewart,johnnysmomskid,johnnysmomskid
The Only Legitimate LTS Bowl League - L3,3,9,7.28,11,0,NA,7.28,48,7.28,64,WilhelmTilt,ringular,Greenhorns,D3M090
The Only Legitimate LTS Bowl League - L3,3,10,0,12,0,NA,0,68,0,68,SOTBD,SOTBD,caemeron,caemeron
The Only Legitimate LTS Bowl League - L3,3,11,0,9,7.28,NA,7.28,48,7.28,64,Greenhorns,D3M090,WilhelmTilt,ringular
The Only Legitimate LTS Bowl League - L3,3,12,0,10,0,NA,0,68,0,68,caemeron,caemeron,SOTBD,SOTBD
LTS Bowl - L4,1,1,175.47,9,210.22,L,34.75,24,385.69,1,The Lib Owners,nak97,York Mobile Detailing,Bmullin105
LTS Bowl - L4,1,2,128.26,5,181.2,L,52.94,8,309.46,26,Chiotan Deck,apulianas,West Coast Aunt,IreneTurner
LTS Bowl - L4,1,3,142.22,11,146.93,L,4.710000000000008,54,289.15,39,Trailing Daler,teamdaler,Trailer Park Pimpin',JusCasKarDad
LTS Bowl - L4,1,4,185.09,10,186.29,L,1.1999999999999886,63,371.38,2,Poop on the Cob,Joker1b,Charity Cases,crackofdawn321
LTS Bowl - L4,1,5,181.2,2,128.26,W,52.94,8,309.46,26,West Coast Aunt,IreneTurner,Chiotan Deck,apulianas
LTS Bowl - L4,1,6,145.72,8,96.46,W,49.260000000000005,11,242.18,47,The New Age Process,armandoguzman,SLOPPY STEAKS,CommieEsq
LTS Bowl - L4,1,7,159.78,12,160.64,L,0.8599999999999852,66,320.41999999999996,21,outshine13,outshine13,Shake and Bake,gogata12345
